                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.58513,                0.67815,                0.96937,                0.97119,                 0.9924,                  0.995,                0.85141,                0.60345,                0.92439,                 1.1024,             0.00041838,             0.00041838,             0.00041838
                     49,                0.59148,                0.70241,                 0.9772,                0.98025,                      1,                  0.995,                0.86261,                0.63431,                0.90552,                 1.1194,               0.000406,               0.000406,               0.000406
                     50,                0.58054,                0.68833,                 1.0036,                0.92889,                0.93772,                 0.9825,                0.82613,                0.67644,                0.89209,                 1.1457,             0.00039362,             0.00039362,             0.00039362
                     51,                0.56248,                0.66374,                0.96759,                0.98654,                      1,                  0.995,                0.83102,                0.71375,                0.89646,                   1.17,             0.00038125,             0.00038125,             0.00038125
                     52,                0.57099,                0.65613,                0.99088,                0.98095,                0.99755,                  0.995,                0.80378,                0.74218,                0.85908,                  1.209,             0.00036888,             0.00036888,             0.00036888
                     53,                  0.563,                0.66312,                 0.9707,                0.97677,                0.99475,                  0.995,                 0.8119,                0.73252,                0.85573,                 1.2343,              0.0003565,              0.0003565,              0.0003565
                     54,                0.53681,                0.61771,                 0.9611,                0.96454,                0.98499,                  0.995,                0.80931,                0.72934,                0.84758,                 1.2449,             0.00034413,             0.00034413,             0.00034413
                     55,                0.53083,                0.60158,                0.95507,                0.88846,                0.92916,                0.95854,                0.81135,                0.73239,                0.85536,                 1.2344,             0.00033175,             0.00033175,             0.00033175
                     56,                0.53283,                0.62501,                 0.9768,                0.90329,                0.89062,                 0.9575,                0.80857,                0.72254,                0.87268,                  1.207,             0.00031938,             0.00031938,             0.00031938
                     57,                0.52094,                0.61726,                0.96123,                0.90256,                0.88889,                 0.9575,                0.80799,                0.70602,                0.87977,                 1.2072,               0.000307,               0.000307,               0.000307
                     58,                0.53896,                0.63476,                0.98227,                0.90407,                0.88674,                 0.9575,                0.80885,                0.70994,                 0.8857,                 1.1989,             0.00029462,             0.00029462,             0.00029462
                     59,                0.50713,                0.64453,                0.96808,                0.81904,                      1,                 0.9575,                0.79264,                 0.7429,                0.88247,                 1.1858,             0.00028225,             0.00028225,             0.00028225
                     60,                0.53693,                0.60786,                 0.9663,                 0.8322,                      1,                   0.97,                0.79567,                0.75015,                0.85846,                 1.1761,             0.00026987,             0.00026987,             0.00026987
                     61,                0.51631,                0.59631,                0.97224,                0.83574,                      1,                   0.97,                0.79702,                0.75433,                0.85409,                 1.1835,              0.0002575,              0.0002575,              0.0002575
                     62,                0.50345,                0.61614,                0.95209,                0.96932,                 0.9375,                 0.9825,                0.80097,                0.74372,                0.82659,                 1.1776,             0.00024513,             0.00024513,             0.00024513
                     63,                0.48138,                0.57659,                0.94074,                0.96208,                 0.9375,                 0.9825,                0.79883,                0.73022,                0.82578,                 1.1696,             0.00023275,             0.00023275,             0.00023275
                     64,                0.50911,                0.60573,                0.97009,                0.95807,                 0.9375,                 0.9825,                0.80625,                0.72738,                0.82733,                 1.1611,             0.00022038,             0.00022038,             0.00022038
                     65,                0.48111,                0.58114,                0.94466,                0.97824,                0.99952,                  0.995,                0.79133,                0.72514,                0.83738,                 1.1631,               0.000208,               0.000208,               0.000208
                     66,                0.48139,                0.56963,                0.95039,                0.97434,                 0.9946,                  0.995,                0.80653,                0.68292,                0.80844,                 1.1608,             0.00019562,             0.00019562,             0.00019562
                     67,                0.49811,                0.57738,                0.94815,                0.97179,                0.99301,                  0.995,                0.80487,                0.67301,                0.79984,                 1.1596,             0.00018325,             0.00018325,             0.00018325
                     68,                0.48194,                0.58967,                0.94773,                  0.826,                      1,                   0.97,                0.81024,                0.67063,                 0.8148,                 1.1448,             0.00017087,             0.00017087,             0.00017087
                     69,                0.50694,                0.59108,                0.97156,                0.81786,                0.99832,                   0.97,                0.81024,                  0.685,                0.82235,                 1.1442,              0.0001585,              0.0001585,              0.0001585
                     70,                0.45273,                0.54811,                0.93673,                0.89965,                0.88819,                   0.97,                0.79364,                0.71193,                0.83919,                 1.1533,             0.00014612,             0.00014612,             0.00014612
                     71,                0.39204,                0.69957,                0.91477,                0.89876,                0.88942,                   0.97,                0.80543,                0.71714,                 0.8421,                  1.151,             0.00013375,             0.00013375,             0.00013375
                     72,                0.38716,                0.66838,                0.89613,                0.89526,                0.88563,                   0.97,                 0.7744,                0.77245,                0.90682,                 1.1713,             0.00012138,             0.00012138,             0.00012138
                     73,                0.36009,                0.63719,                0.89379,                0.89258,                0.88392,                0.95854,                0.75395,                0.80972,                 0.9337,                 1.1972,               0.000109,               0.000109,               0.000109
                     74,                0.39289,                0.67846,                0.90236,                0.89081,                0.87371,                0.87735,                0.70763,                0.86791,                0.93972,                 1.2542,             9.6625e-05,             9.6625e-05,             9.6625e-05
                     75,                0.35321,                0.69469,                0.88079,                0.89123,                0.87464,                0.86464,                 0.7012,                 0.8643,                0.92795,                 1.2551,              8.425e-05,              8.425e-05,              8.425e-05
                     76,                0.35559,                0.70611,                0.87978,                0.89642,                0.88151,                0.90292,                0.71706,                0.89202,                0.90135,                 1.2796,             7.1875e-05,             7.1875e-05,             7.1875e-05
                     77,                0.34834,                 0.6612,                0.87425,                0.89846,                0.88139,                0.90385,                0.72741,                0.88252,                0.87588,                 1.2903,               5.95e-05,               5.95e-05,               5.95e-05
                     78,                0.34842,                0.64477,                0.88811,                 0.9005,                0.88151,                0.90646,                0.73779,                0.84213,                0.86951,                 1.2846,             4.7125e-05,             4.7125e-05,             4.7125e-05
                     79,                0.33925,                0.63168,                0.87134,                0.90115,                0.88161,                 0.9086,                0.75211,                0.81414,                0.87694,                 1.2697,              3.475e-05,              3.475e-05,              3.475e-05
                     80,                0.33412,                 0.6341,                0.88939,                0.90202,                0.88162,                0.93696,                0.76374,                0.77511,                0.87644,                 1.2506,             2.2375e-05,             2.2375e-05,             2.2375e-05
